import time: self [us] | cumulative | imported package
import time:       485 |        485 |           matplotlib._pylab_helpers
import time:      1296 |       2511 |         matplotlib.backend_tools
import time:        70 |         70 |                   _json
import time:       711 |        781 |                 json.scanner
import time:   1482907 |    1483688 |               json.decoder
import time:       662 |        662 |               json.encoder
import time:       829 |    1485178 |             json
import time:      1135 |       1135 |             plistlib
import time:      2473 |       2473 |               matplotlib._mathtext_data
import time:      1014 |       3486 |             matplotlib._afm
import time:      2617 |    1492414 |           matplotlib.font_manager
import time:       596 |        596 |             matplotlib.hatch
import time:      1038 |       1038 |               matplotlib.markers
import time:      4224 |       5262 |             matplotlib.lines
import time:     16754 |      22610 |           matplotlib.patches
import time:       839 |        839 |               urllib
import time:      1450 |       1450 |               ipaddress
import time:   3002247 |    3004535 |             urllib.parse
import time:       829 |        829 |             matplotlib._text_helpers
import time:      1134 |       1134 |                     fontTools.misc
import time:        61 |         61 |                       gc
import time:       532 |        592 |                     timeit
import time:       848 |       2574 |                   fontTools.misc.loggingTools
import time:       834 |       3407 |                 fontTools
import time:       471 |        471 |                 fontTools.misc.textTools
import time:      5564 |       9441 |               fontTools.agl
import time:      2319 |      11759 |             matplotlib.dviread
import time:        64 |         64 |                 unicodedata
import time:       652 |        652 |                   numpy._typing._add_docstring
import time:       847 |       1499 |                 numpy.typing
import time:      2755 |       4316 |               matplotlib._mathtext
import time:       553 |       4869 |             matplotlib.mathtext
import time:      1158 |       1158 |                 _hashlib
import time:        50 |         50 |                 _blake2
import time:       554 |       1761 |               hashlib
import time:       592 |       2353 |             matplotlib.texmanager
import time:       778 |    3025121 |           matplotlib.textpath
import time:      4698 |    4544842 |         matplotlib.text
import time:       514 |        514 |         matplotlib._tight_bbox
import time:     14505 |      14505 |           matplotlib.collections
import time:      2140 |      16645 |         matplotlib.widgets
import time:       653 |        653 |         matplotlib.backend_managers
import time:       511 |        511 |             matplotlib._layoutgrid
import time:       528 |       1039 |           matplotlib._constrained_layout
import time:       467 |        467 |           matplotlib._tight_layout
import time:       494 |       1999 |         matplotlib.layout_engine
import time:      1923 |    4570767 |       matplotlib.backend_bases
import time:      4558 |    4577136 |     matplotlib.image
import time:     53141 |      53141 |     matplotlib.style
import time:       444 |        444 |       matplotlib._blocking_input
import time:      5627 |       5627 |             matplotlib.offsetbox
import time:       540 |        540 |               matplotlib.units
import time:      6281 |       6821 |             matplotlib.axis
import time:       878 |        878 |             matplotlib.gridspec
import time:      1836 |       1836 |             matplotlib.spines
import time:      2349 |       2349 |             matplotlib.table
import time:      4807 |      22316 |           matplotlib.axes._base
import time:      1139 |       1139 |                   calendar
import time:      1260 |       1260 |                   six
import time:       466 |        466 |                   dateutil._common
import time:        41 |         41 |                     six.moves
import time:       692 |        692 |                     dateutil.tz._common
import time:       433 |        433 |                     dateutil.tz._factories
import time:        21 |         21 |                       six.moves.winreg
import time:       462 |        482 |                     dateutil.tz.win
import time:      1184 |       2831 |                   dateutil.tz.tz
import time:      2603 |       8297 |                 dateutil.parser._parser
import time:       577 |        577 |                 dateutil.parser.isoparser
import time:       821 |       9694 |               dateutil.parser
import time:       546 |      10239 |             matplotlib.category
import time:      2748 |       2748 |             matplotlib.contour
import time:      1171 |       1171 |               dateutil.rrule
import time:      1123 |       2294 |             matplotlib.dates
import time:      1382 |       1382 |             matplotlib.inset
import time:       529 |        529 |               matplotlib.container
import time:       786 |        786 |               matplotlib.legend_handler
import time:      1796 |       3110 |             matplotlib.legend
import time:      3550 |       3550 |             matplotlib.quiver
import time:       383 |        383 |               matplotlib._style_helpers
import time:       661 |       1044 |             matplotlib.stackplot
import time:       645 |        645 |             matplotlib.streamplot
import time:       897 |        897 |               matplotlib.tri._triangulation
import time:      1452 |       1452 |               matplotlib.tri._tricontour
import time:       517 |        517 |               matplotlib.tri._trifinder
import time:       411 |        411 |                 matplotlib.tri._tritools
import time:       896 |       1307 |               matplotlib.tri._triinterpolate
import time:      1075 |       1075 |               matplotlib.tri._tripcolor
import time:       437 |        437 |               matplotlib.tri._triplot
import time:       521 |        521 |               matplotlib.tri._trirefine
import time:       780 |       6982 |             matplotlib.tri
import time:      2084 |       2084 |             matplotlib.axes._secondary_axes
import time:     11368 |      45441 |           matplotlib.axes._axes
import time:       884 |      68640 |         matplotlib.axes
import time:      7287 |       7287 |         matplotlib.projections.geo
import time:      5595 |       5595 |         matplotlib.projections.polar
import time:       530 |        530 |           mpl_toolkits
import time:       453 |        453 |               mpl_toolkits.mplot3d.proj3d
import time:      8505 |       8958 |             mpl_toolkits.mplot3d.art3d
import time:      3913 |       3913 |             mpl_toolkits.mplot3d.axis3d
import time:      6143 |      19013 |           mpl_toolkits.mplot3d.axes3d
import time:      1077 |      20620 |         mpl_toolkits.mplot3d
import time:      1155 |     103295 |       matplotlib.projections
import time:      1681 |       1681 |       matplotlib.colorbar
import time:      4573 |     109991 |     matplotlib.figure
import time:      6001 |    8034641 |   matplotlib.pyplot
import time:       689 |        689 |     cyclopts._version
import time:       636 |        636 |               attr._compat
import time:       374 |        374 |                 attr._config
import time:       578 |        578 |                   attr.exceptions
import time:       409 |        986 |                 attr.setters
import time:      3616 |       4975 |               attr._make
import time:       620 |       6230 |             attr.converters
