import time: self [us] | cumulative | imported package
import time:      3093 |      10321 |             matplotlib.ticker
import time:       606 |      10926 |           matplotlib.scale
import time:       522 |        522 |           matplotlib._color_data
import time:      1920 |      42897 |         matplotlib.colors
import time:      1107 |       1107 |             pyparsing.warnings
import time:       424 |        424 |             pyparsing.util
import time:       324 |        324 |               pyparsing.unicode
import time:      1551 |       1875 |             pyparsing.exceptions
import time:       258 |        258 |               pyparsing.results
import time:      4322 |       4580 |             pyparsing.actions
import time:     15467 |      15467 |             pyparsing.core
import time:      1160 |       1160 |                   html.entities
import time:       307 |       1467 |                 html
import time:        17 |       1483 |               html.entities
import time:      2069 |       3551 |             pyparsing.helpers
import time:       211 |        211 |                   unittest.util
import time:       538 |        749 |                 unittest.result
import time:       569 |        569 |                 unittest.case
import time:       198 |        198 |                 unittest.suite
import time:       399 |        399 |                 unittest.loader
import time:       526 |        526 |                     gettext
import time:       965 |       1491 |                   argparse
import time:       100 |        100 |                     unittest.signals
import time:       199 |        298 |                   unittest.runner
import time:       163 |       1951 |                 unittest.main
import time:       153 |       4016 |               unittest
import time:       262 |       4278 |             pyparsing.testing
import time:      3190 |       3190 |             pyparsing.common
import time:       307 |        307 |                 importlib.resources.abc
import time:       606 |        913 |               importlib.resources._common
import time:       106 |        106 |               importlib.resources._functional
import time:       142 |       1159 |             importlib.resources
import time:       545 |      36171 |           pyparsing
import time:       314 |      36485 |         matplotlib._fontconfig_pattern
import time:       349 |        349 |         matplotlib._enums
import time:       328 |        328 |         cycler
import time:      4231 |       4231 |           numpy.ma.core
import time:       680 |        680 |           numpy.ma.extras
import time:       182 |       5092 |         numpy.ma
import time:      2076 |      87948 |       matplotlib.rcsetup
import time:      2609 |       2609 |       matplotlib.ft2font
import time:       452 |        452 |       dateutil._version
import time:       161 |        161 |         kiwisolver.exceptions
import time:      1296 |       1457 |       kiwisolver._cext
import time:      1928 |       1928 |           matplotlib.artist
import time:       952 |       2880 |         matplotlib.colorizer
import time:      3294 |       3294 |         matplotlib._cm_listed
import time:       622 |        622 |         matplotlib._cm_multivar
import time:       652 |        652 |         matplotlib._cm_bivar
import time:      2713 |      10160 |       matplotlib.cm
import time:      9765 |     190485 |     matplotlib
import time:      1459 |       1459 |       matplotlib._image
import time:       193 |        193 |           _socket
import time:      1049 |       1242 |         socket
import time:        36 |         36 |             _uuid
import time:       318 |        353 |           uuid
import time:       134 |        134 |           matplotlib._pylab_helpers
import time:       901 |       1387 |         matplotlib.backend_tools
import time:        43 |         43 |                   _json
import time:       284 |        327 |                 json.scanner
import time:       719 |       1045 |               json.decoder
import time:       284 |        284 |               json.encoder
import time:       159 |       1487 |             json
import time:       665 |        665 |             plistlib
import time:       963 |        963 |               matplotlib._mathtext_data
import time:       598 |       1561 |             matplotlib._afm
import time:      2233 |       5944 |           matplotlib.font_manager
import time:       242 |        242 |             matplotlib.hatch
import time:       720 |        720 |               matplotlib.markers
import time:      3869 |       4588 |             matplotlib.lines
import time:     16431 |      21260 |           matplotlib.patches
import time:       116 |        116 |               urllib
import time:       971 |        971 |               ipaddress
import time:      1277 |       2362 |             urllib.parse
import time:       171 |        171 |             matplotlib._text_helpers
import time:       480 |        480 |                     fontTools.misc
import time:        53 |         53 |                       gc
import time:       162 |        215 |                     timeit
import time:       598 |       1291 |                   fontTools.misc.loggingTools
import time:       138 |       1429 |                 fontTools
import time:       134 |        134 |                 fontTools.misc.textTools
import time:      5166 |       6728 |               fontTools.agl
import time:      1836 |       8564 |             matplotlib.dviread
import time:        61 |         61 |                 unicodedata
import time:       356 |        356 |                   numpy._typing._add_docstring
import time:       129 |        485 |                 numpy.typing
import time:      2414 |       2959 |               matplotlib._mathtext
import time:       226 |       3184 |             matplotlib.mathtext
import time:      1154 |       1154 |                 _hashlib
import time:        48 |         48 |                 _blake2
import time:       184 |       1385 |               hashlib
import time:       248 |       1632 |             matplotlib.texmanager
import time:       376 |      16287 |           matplotlib.textpath
import time:      4365 |      47854 |         matplotlib.text
import time:       138 |        138 |         matplotlib._tight_bbox
import time:     14188 |      14188 |           matplotlib.collections
import time:      1905 |      16093 |         matplotlib.widgets
import time:       307 |        307 |         matplotlib.backend_managers
